Superclass1	Superclass2	pathway
P185-PWY	Degradation/Utilization/Assimilation	C1 Compound Utilization and Assimilation	formaldehyde assimilation III (dihydroxyacetone cycle)
P221-PWY	Degradation/Utilization/Assimilation	Degradation/Utilization/Assimilation - Other	octane oxidation
P23-PWY	Degradation/Utilization/Assimilation	C1 Compound Utilization and Assimilation	reductive TCA cycle I
P241-PWY	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	coenzyme B biosynthesis
P261-PWY	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	coenzyme M biosynthesis I
P281-PWY	Degradation/Utilization/Assimilation	Aromatic Compound Degradation	3-phenylpropanoate degradation
P3-PWY	Degradation/Utilization/Assimilation	Aromatic Compound Degradation	gallate degradation III (anaerobic)
P381-PWY	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	adenosylcobalamin biosynthesis II (aerobic)
P4-PWY	Biosynthesis	Amino Acid Biosynthesis	superpathway of L-lysine, L-threonine and L-methionine biosynthesis I
P42-PWY	Degradation/Utilization/Assimilation	C1 Compound Utilization and Assimilation	incomplete reductive TCA cycle
P441-PWY	Degradation/Utilization/Assimilation	Carboxylic Acid Degradation	superpathway of N-acetylneuraminate degradation
P461-PWY	Degradation/Utilization/Assimilation&&Generation of Precursor Metabolites and Energy	Carbohydrate Degradation&&Alcohol Degradation&&Fermentation	hexitol fermentation to lactate, formate, ethanol and acetate
P562-PWY	Degradation/Utilization/Assimilation	Cyclitol Degradation	myo-inositol degradation I
P621-PWY	Degradation/Utilization/Assimilation	Degradation/Utilization/Assimilation - Other	nylon-6 oligomer degradation
PANTO-PWY	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	phosphopantothenate biosynthesis I
PANTOSYN-PWY	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	superpathway of coenzyme A biosynthesis I (bacteria)
PENTOSE-P-PWY	Generation of Precursor Metabolites and Energy	Pentose Phosphate Pathways	pentose phosphate pathway
PEPTIDOGLYCANSYN-PWY	Biosynthesis	Cell Structure Biosynthesis	peptidoglycan biosynthesis I (meso-diaminopimelate containing)
PHOSLIPSYN-PWY	Biosynthesis	Fatty Acid and Lipid Biosynthesis	superpathway of phospholipid biosynthesis I (bacteria)
PHOTOALL-PWY	Generation of Precursor Metabolites and Energy	Photosynthesis	oxygenic photosynthesis
POLYAMINSYN3-PWY	Biosynthesis	Amide, Amidine, Amine, and Polyamine Biosynthesis	superpathway of polyamine biosynthesis II
